Results from the 0th iteration     date:17/05/22
------------------------------------------------------------------------
Parameters of the run are : 
m=0.004 mu=19 lambda=0.72 lambdaQCD=0.234 gamma=0.48 eta=1.8

Parameters for the integartions are : 
nCheby=30 nLeg=500 pMin=0.001 pMax=1000.0
 
Degree of convergence : None
 
Current value for Z2 : 1

Datas for sigma_v(p) and sigma_s(p) :
p                                                  sigma_v(p)                                         sigma_s(p)                                        
(0.8615655229428894-0.37722029415694613j)          (0.5874650145186158+0.4908174148598043j)           (0.010226350200520798+0.1646426183540171j)        
(0.8510370548406982-0.35251109019707194j)          (0.6315718999128608+0.48615607546231887j)          (0.02854840880194583+0.1709609934844251j)         
(0.8408153869325262-0.327063472284039j)            (0.6748622207248647+0.47515238375164975j)          (0.04827134661016761+0.173874103103985j)          
(0.830970808028377-0.30085292718425133j)           (0.7191482158391571+0.4585662690946218j)           (0.06938019024820655+0.1740006331094378j)         
(0.8215838362577499-0.27386127875258254j)          (0.763578991363602+0.43611638322663937j)           (0.09140558469184004+0.17106981662515047j)        
(0.8127454260384368-0.2460795146825486j)           (0.8081275287025513+0.4077774442322878j)           (0.11411971846683015+0.16505602735345354j)        
(0.8045564614967966-0.21751114853323006j)          (0.8497459253709624+0.37318404165595764j)          (0.13624924311266115+0.15514744241083284j)        
(0.7971262112269109-0.18817597249640625j)          (0.8883945171676915+0.3324353070274261j)           (0.15747284532793426+0.14149936201154045j)        
(0.7905694150420957-0.1581138830084184j)           (0.9231467671234982+0.2862417264914694j)           (0.17704530467351545+0.12434375923773759j)        
(0.7850017617921881-0.12738824913169106j)          (0.952795530746104+0.23518555877455516j)           (0.19415228499656775+0.10388649973581136j)        
(0.7805337416930327-0.09608809458681355j)          (0.9766029427908024+0.18004563897789208j)          (0.2081675235065961+0.08057236200266951j)         
(0.777263228587917-0.06432827150569886j)           (0.9940650826455707+0.12179446100132359j)          (0.2185950979201297+0.05501918899318489j)         
(0.7752676082939418-0.03224692961829621j)          (1.0046919628033228+0.0614307934041048j)           (0.22500705454292283+0.027907550548903502j)       
(0.7745966692414843+5.733167046599004e-16j)        (1.0082622253955091-1.0943942420495826e-15j)       (0.22717216054171097-4.98112444181287e-16j)       
(0.7752676082939418+0.03224692961829736j)          (1.0046919628033228-0.06143079340410698j)          (0.22500705454292275-0.02790755054890449j)        
(0.777263228587917+0.0643282715057j)               (0.9940650826455707-0.12179446100132583j)          (0.21859509792012952-0.05501918899318588j)        
(0.7805337416930328+0.09608809458681468j)          (0.9766029427908014-0.180045638977894j)            (0.20816752350659554-0.08057236200267028j)        
(0.7850017617921883+0.12738824913169214j)          (0.9527955307461029-0.23518555877455716j)          (0.194152284996567-0.10388649973581214j)          
(0.7905694150420958+0.15811388300841947j)          (0.9231467671234969-0.28624172649147134j)          (0.17704530467351481-0.12434375923773823j)        
(0.7971262112269111+0.1881759724964073j)           (0.8883945171676898-0.3324353070274278j)           (0.15747284532793313-0.14149936201154092j)        
(0.8045564614967968+0.21751114853323109j)          (0.8497459253709614-0.373184041655959j)            (0.13624924311266035-0.15514744241083336j)        
(0.812745426038437+0.24607951468254963j)           (0.8081275287025501-0.4077774442322892j)           (0.1141197184668294-0.1650560273534539j)          
(0.8215838362577501+0.27386127875258354j)          (0.7635789913636006-0.4361163832266406j)           (0.09140558469183913-0.17106981662515064j)        
(0.8309708080283773+0.3008529271842523j)           (0.7191482158391562-0.45856626909462306j)          (0.0693801902482058-0.1740006331094381j)          
(0.8408153869325266+0.3270634722840399j)           (0.6748622207248632-0.47515238375165025j)          (0.04827134661016705-0.17387410310398502j)        
(0.8510370548406986+0.35251109019707283j)          (0.6315718999128591-0.48615607546231937j)          (0.028548408801945035-0.17096099348442495j)       
(0.8615655229428898+0.37722029415694697j)          (0.5874650145186135-0.49081741485980374j)          (0.01022635020052014-0.16464261835401658j)        
(0.8723400844078221+0.40121966908994466j)          (0.5495102827192387-0.4930466567075746j)           (-0.005739960549316877-0.1583145184828984j)       
(0.8833087330075852+0.42454012508532574j)          (0.5131242899640825-0.49185588014465864j)          (-0.020160184998635998-0.15027616225522597j)      
(0.8944271909999169+0.44721359549995837j)          (0.4796752713312026-0.4879057908002527j)           (-0.032775630545941584-0.14138632038222532j)      
(0.9056579382786428+0.46927209715379486j)          (0.44929232163654304-0.48150139829062083j)         (-0.04356215088526726-0.1318909310723441j)        
(0.9169692968249266+0.4907470746928592j)           (0.42121912913939075-0.472953047461093j)           (-0.052645251805067024-0.12174174827903021j)      
(0.9283345982759167+0.5116689616892022j)           (0.40030596859606077-0.462755503800765j)           (-0.05934248271229515-0.1129718903466345j)        
(0.959866148009101-0.5209059628127017j)            (0.38376276709748025+0.43213296137543045j)         (-0.0569240203708925+0.09597300892221576j)        
(0.9489695578157753-0.5005429268914571j)           (0.40519959350834595+0.4411773553329605j)          (-0.051080025129196675+0.1049417049498358j)       
(0.9381311650187111-0.47967706092678913j)          (0.42904612410473936+0.44765933244293993j)         (-0.04341652340607727+0.11363311682754991j)       
(0.9273744464755423-0.4582830609741288j)           (0.4552242531547317+0.4530685000203534j)           (-0.03452354674718881+0.12207361701760339j)       
(0.9167268967376317-0.43633496674253286j)          (0.48490003452582053+0.45663474414832966j)         (-0.02403107561759597+0.13043385381683623j)       
(0.9062206304382953-0.4138065140038033j)           (0.5146763406350252+0.4580017258876146j)           (-0.012444793340001294+0.13729554283384265j)      
(0.8958930345546677-0.39067163880114164j)          (0.547447399096089+0.45501274227504074j)           (0.0012545267792147537+0.14300405584377485j)      
(0.885787450673838-0.3669051754489919j)            (0.5847461712679967+0.454034104118036j)            (0.015531322844064168+0.14951179040799212j)       
(0.8759538517090124-0.342483795709889j)            (0.6221239653411877+0.44630507588205726j)          (0.03167932505243207+0.15313453630701662j)        
(0.8664494556222891-0.31738723847716327j)          (0.6605177323812391+0.43386285551677983j)          (0.049169022685092295+0.15461145983364477j)       
(0.8573391899775836-0.29159987426509265j)          (0.6995881848878234+0.416818350759106j)            (0.06762122278161582+0.1537898472336539j)         
(0.8486958863580337-0.26511263176440153j)          (0.7394183917521813+0.3945822883327254j)           (0.0870252788699635+0.1504839707680323j)          
(0.8406000464322168-0.23792527831620466j)          (0.777272055950942+0.36807211816349555j)           (0.10605366085777221+0.14437690812425924j)        
(0.8331389899085484-0.2100489859671662j)           (0.8133833830992334+0.33565274333076084j)          (0.12491913778289221+0.13504201091147097j)        
(0.826405183056054-0.18150902617200232j)           (0.8467900305595665+0.29824287533988914j)          (0.1428533738794941+0.1226844547416054j)          
(0.8204935751909361-0.15234732334242965j)          (0.8767992578977688+0.25636879786399785j)          (0.15930875863387106+0.10749982666728468j)        
(0.815497861872358-0.12262447846325768j)           (0.9022850325656455+0.21029180439895948j)          (0.17362139192053544+0.08956339241977772j)        
(0.8115057619038571-0.09242078555800226j)          (0.9227838748200714+0.16081186921225518j)          (0.18533012512408198+0.06932876046135926j)        
(0.8085936315289337-0.06183575785213251j)          (0.9378274298283147+0.10871268794393221j)          (0.19402868339689355+0.04728144483618787j)        
(0.8068209964175039-0.030985807398426803j)         (0.9469827099280953+0.05481046136354668j)          (0.19937221655601164+0.02396397491210012j)        
(0.8062257748298559+5.508248727768375e-16j)        (0.9500590058938688-9.763280432595474e-16j)        (0.20117567362495017-4.276160561534598e-16j)      
(0.8068209964175039+0.030985807398427902j)         (0.9469827099280953-0.054810461363548675j)         (0.19937221655601137-0.023963974912100994j)       
(0.8085936315289338+0.0618357578521336j)           (0.9378274298283139-0.10871268794393413j)          (0.19402868339689308-0.0472814448361886j)         
(0.8115057619038573+0.09242078555800334j)          (0.9227838748200706-0.1608118692122571j)           (0.18533012512408148-0.06932876046136j)           
(0.8154978618723582+0.12262447846325873j)          (0.9022850325656446-0.2102918043989611j)           (0.17362139192053502-0.08956339241977838j)        
(0.8204935751909362+0.15234732334243073j)          (0.8767992578977676-0.25636879786399935j)          (0.15930875863387045-0.1074998266672853j)         
(0.8264051830560541+0.18150902617200337j)          (0.8467900305595658-0.2982428753398909j)           (0.14285337387949354-0.1226844547416061j)         
(0.8331389899085486+0.21004898596716723j)          (0.8133833830992322-0.3356527433307623j)           (0.12491913778289157-0.1350420109114714j)         
(0.840600046432217+0.23792527831620566j)           (0.7772720559509407-0.36807211816349666j)          (0.1060536608577715-0.14437690812425952j)         
(0.8486958863580341+0.2651126317644025j)           (0.73941839175218-0.39458228833272635j)            (0.08702527886996277-0.15048397076803252j)        
(0.8573391899775841+0.29159987426509354j)          (0.6995881848878219-0.41681835075910617j)          (0.06762122278161521-0.15378984723365383j)        
(0.8664494556222895+0.3173872384771642j)           (0.6605177323812376-0.4338628555167801j)           (0.049169022685091684-0.15461145983364458j)       
(0.8759538517090127+0.3424837957098899j)           (0.6221239653411864-0.446305075882058j)            (0.03167932505243139-0.15313453630701673j)        
(0.8857874506738384+0.3669051754489928j)           (0.5847461712679959-0.4540341041180362j)           (0.015531322844063725-0.14951179040799215j)       
(0.8958930345546681+0.3906716388011425j)           (0.5474473990960879-0.45501274227504146j)          (0.001254526779214128-0.1430040558437749j)        
(0.9062206304382957+0.4138065140038041j)           (0.5146763406350245-0.45800172588761434j)          (-0.012444793340001436-0.13729554283384238j)      
(0.9167268967376322+0.43633496674253364j)          (0.4849000345258191-0.45663474414832933j)          (-0.02403107561759637-0.1304338538168355j)        
(0.9273744464755427+0.45828306097412963j)          (0.45522425315473014-0.4530685000203535j)          (-0.034523546747189535-0.12207361701760283j)      
(0.9381311650187115+0.47967706092678986j)          (0.4290461241047394-0.4476593324429386j)           (-0.04341652340607711-0.11363311682754962j)       
(0.9489695578157756+0.5005429268914579j)           (0.4051995935083454-0.4411773553329601j)           (-0.05108002512919686-0.10494170494983569j)       
(0.9799631527698817-0.5102232656266126j)           (0.39094805191969995+0.41325345189311835j)         (-0.04904047963993374+0.09041653413547605j)       
(0.9695468972980619-0.489919571011709j)            (0.41142096326412547+0.4187256281632881j)          (-0.042773247646436446+0.09805998904014906j)      
(0.9592120268999812-0.4691350685565604j)           (0.43400894862217043+0.4232802712224265j)          (-0.03544722713417345+0.10555483636552555j)       
(0.9489825544437749-0.4478480642345467j)           (0.45855019432179356+0.42641019077411996j)         (-0.02697155740844067+0.1126856047199588j)        
(0.9388861968506799-0.4260367245164813j)           (0.4852560714267263+0.42736602572629523j)          (-0.01715085135152072+0.11929786250254706j)       
(0.9289548499346354-0.4036794684116093j)           (0.5152456305037219+0.42634398324314404j)          (-0.005794052063072541+0.12549373188820412j)      
(0.9192250795265459-0.38075549481338145j)          (0.5457043638342967+0.42585181435657504j)          (0.005652732432741731+0.13102861740120145j)       
(0.9097386049649488-0.3572454749378495j)           (0.5780586669894574+0.4198783189960041j)           (0.01911093076547567+0.13492185269772364j)        
(0.9005427379445384-0.3331324404266929j)           (0.611589123089768+0.41036139670404637j)           (0.033677218232123274+0.13723958876342865j)       
(0.8916907229354373-0.3084028945537332j)           (0.6456606099695118+0.39723102147835276j)          (0.049124554464332115+0.13771902600041247j)       
(0.8832419053419808-0.2830481643680649j)           (0.6805323562297303+0.37982063472816807j)          (0.06542563173075755+0.13622312166187395j)        
(0.8752616319863062-0.25706599235863675j)          (0.7151265266327241+0.3592259671279512j)           (0.08188108738924021+0.13282608433639045j)        
(0.867820769176982-0.2304623340481634j)            (0.7483399630091522+0.3333593375910528j)           (0.09843046358080343+0.12666069261221277j)        
(0.8609947131443169-0.20325328056998979j)          (0.7797500038679757+0.3031266296343987j)           (0.11452785501021154+0.11797769899551824j)        
(0.8548617755480689-0.17546696353785582j)          (0.8088051954413535+0.2688290570170113j)           (0.1297523166431169+0.10686025826242342j)         
(0.8495008644392094-0.14714522990217008j)          (0.8347526314178219+0.23053731296706098j)          (0.1436595400321563+0.09331058513203336j)         
(0.8449884581839134-0.11834481173260528j)          (0.8567696831719903+0.18882204282350215j)          (0.1557016597691651+0.07755581818636945j)         
(0.8413949884459202-0.08913768328775847j)          (0.8744887874041422+0.14423219796035935j)          (0.16553788277913872+0.059925553495095533j)       
(0.8387808954627395-0.059610322875100236j)         (0.8874719021699831+0.09743192136193578j)          (0.1728253352773993+0.04081630002332345j)         
(0.8371927622659291-0.02986170106432249j)          (0.8953768640773986+0.049100999659982665j)         (0.17729936959396111+0.020671427964295958j)       
(0.8366600265340765+5.307881287094995e-16j)        (0.8980329625689673-8.745003324985991e-16j)        (0.17880855916288754-3.6877112610404867e-16j)     
(0.8371927622659291+0.029861701064323547j)         (0.8953768640773988-0.04910099965998443j)          (0.17729936959396114-0.020671427964296708j)       
(0.8387808954627396+0.05961032287510129j)          (0.8874719021699831-0.09743192136193751j)          (0.17282533527739924-0.04081630002332419j)        
(0.8413949884459203+0.0891376832877595j)           (0.874488787404142-0.14423219796036105j)           (0.16553788277913858-0.059925553495096234j)       
(0.8449884581839135+0.11834481173260632j)          (0.8567696831719896-0.18882204282350373j)          (0.1557016597691647-0.07755581818637j)            
(0.8495008644392096+0.14714522990217108j)          (0.8347526314178211-0.2305373129670624j)           (0.14365954003215584-0.09331058513203389j)        
(0.854861775548069+0.17546696353785685j)           (0.8088051954413531-0.2688290570170128j)           (0.12975231664311657-0.10686025826242398j)        
(0.8609947131443171+0.20325328056999076j)          (0.7797500038679744-0.3031266296343997j)           (0.11452785501021102-0.11797769899551852j)        
(0.8678207691769824+0.23046233404816432j)          (0.7483399630091508-0.3333593375910538j)           (0.0984304635808028-0.12666069261221305j)         
(0.8752616319863065+0.25706599235863775j)          (0.7151265266327234-0.35922596712795235j)          (0.08188108738923969-0.1328260843363908j)         
(0.8832419053419811+0.2830481643680658j)           (0.6805323562297285-0.3798206347281682j)           (0.065425631730757-0.1362231216618738j)           
(0.8916907229354375+0.30840289455373415j)          (0.6456606099695107-0.39723102147835326j)          (0.049124554464331616-0.13771902600041255j)       
(0.9005427379445388+0.3331324404266937j)           (0.6115891230897667-0.41036139670404703j)          (0.033677218232122615-0.1372395887634285j)        
(0.9097386049649492+0.3572454749378504j)           (0.5780586669894565-0.4198783189960044j)           (0.019110930765475313-0.1349218526977237j)        
(0.9192250795265461+0.3807554948133823j)           (0.5457043638342953-0.42585181435657526j)          (0.00565273243274124-0.13102861740120128j)        
(0.9289548499346357+0.40367946841161007j)          (0.5152456305037205-0.4263439832431435j)           (-0.005794052063072877-0.12549373188820379j)      
(0.9388861968506803+0.426036724516482j)            (0.4852560714267249-0.42736602572629495j)          (-0.017150851351521217-0.11929786250254673j)      
(0.9489825544437753+0.4478480642345475j)           (0.458550194321792-0.42641019077412046j)           (-0.026971557408441166-0.11268560471995831j)      
(0.9592120268999815+0.4691350685565612j)           (0.43400894862216993-0.42328027122242645j)         (-0.03544722713417371-0.10555483636552544j)       
(0.9695468972980622+0.4899195710117098j)           (0.4114209632641251-0.41872562816328823j)          (-0.0427732476464368-0.09805998904014895j)        
(1.0000000000000007-0.49999999999999967j)          (0.3957587328950785+0.3938428182415357j)           (-0.04174737392715529+0.08464081688187405j)       
(0.990043393920444-0.47977695009817833j)           (0.4155418594275863+0.3974837525611937j)           (-0.03564013031290278+0.09137475188529984j)       
(0.9801881073003285-0.45909555181138356j)          (0.43694676853749365+0.399985126561282j)           (-0.02856804534554645+0.09781093257261038j)       
(0.9704582435312366-0.43793744123759437j)          (0.45964009843470555+0.4003675802638095j)          (-0.020356308918692716+0.10363344589508279j)      
(0.9608812647702805-0.41628452407762223j)          (0.48572773926066376+0.4012910430023373j)          (-0.011442550368264987+0.10970203654376108j)      
(0.9514883529975088-0.3941193802516064j)           (0.5126836260479175+0.4009316607532706j)           (-0.0017491985944610691+0.11501733816990962j)     
(0.9423147633445424-0.37142578426528156j)          (0.5408386906290347+0.39578388137790954j)          (0.00962060009480794+0.1188983078997299j)         
(0.9334001451853227-0.34818936088281033j)          (0.569896585856383+0.3885243181816221j)            (0.021724448292810575+0.12162824946688316j)       
(0.9247887963245797-0.3243983936573413j)           (0.5999110347449035+0.3781960597603858j)           (0.034715215218020894+0.12301755004142359j)       
(0.9165298036307702-0.30004479822762564j)          (0.630631199962064+0.3646558416089325j)            (0.0484244722072118+0.12287432457267904j)         
(0.908677010511986-0.2751252613501683j)            (0.6617136609554878+0.34838170082646464j)          (0.06252902464757808+0.12125396692087471j)        
(0.9012887395909254-0.24964252865526998j)          (0.6920531927883123+0.32754610965081155j)          (0.07697302599209895+0.11739272176167975j)        
(0.8944271909999166-0.2236067977499785j)           (0.7211263845558369+0.3030327423403959j)           (0.09122699313814775+0.11145769467618072j)        
(0.8881574375814079-0.19703713845661439j)          (0.7485764115482024+0.2748483237233392j)           (0.10501860415405605+0.1034382372349589j)         
(0.8825459537809287-0.1699628210376835j)           (0.7741041221563693+0.24321769831762105j)          (0.11807006827448564+0.09342255007599978j)        
(0.8776586509122147-0.14242439229657j)             (0.7964777603453985+0.20815605834074327j)          (0.1298167401734701+0.08131798654516134j)         
(0.8735584510532206-0.11447430893654906j)          (0.8155843413313429+0.17023920098679504j)          (0.14000468134695232+0.06743826611090638j)        
(0.8703025126468729-0.08617693148087122j)          (0.8309523312364284+0.12990516102741295j)          (0.14830696365538892+0.052024242499846114j)       
(0.8679393116805693-0.05760771441863354j)          (0.8421956203997575+0.08767743543557534j)          (0.15444472167810283+0.03538815940670072j)        
(0.866505862334078-0.028851507054618083j)          (0.8490406775435194+0.04416484327946103j)          (0.15820882698988709+0.017909327939360748j)       
(0.8660254037844396+5.127900497022832e-16j)        (0.8513403786573879-7.864675219508392e-16j)        (0.15947785866441838-3.1941955539647065e-16j)     
(0.8665058623340781+0.028851507054619106j)         (0.8490406775435193-0.044164843279462546j)         (0.158208826989887-0.017909327939361366j)         
(0.8679393116805694+0.057607714418634555j)         (0.8421956203997571-0.08767743543557682j)          (0.15444472167810264-0.03538815940670132j)        
(0.870302512646873+0.08617693148087223j)           (0.8309523312364278-0.12990516102741437j)          (0.14830696365538856-0.052024242499846635j)       
(0.8735584510532207+0.11447430893655006j)          (0.815584341331342-0.17023920098679626j)           (0.14000468134695204-0.06743826611090686j)        
(0.8776586509122148+0.142424392296571j)            (0.7964777603453974-0.20815605834074447j)          (0.12981674017346959-0.08131798654516169j)        
(0.8825459537809289+0.16996282103768448j)          (0.7741041221563683-0.24321769831762216j)          (0.11807006827448506-0.0934225500760001j)         
(0.8881574375814082+0.1970371384566153j)           (0.7485764115482015-0.27484832372334034j)          (0.10501860415405558-0.10343823723495928j)        
(0.8944271909999169+0.2236067977499794j)           (0.7211263845558357-0.30303274234039695j)          (0.0912269931381471-0.11145769467618095j)         
(0.9012887395909256+0.24964252865527092j)          (0.6920531927883112-0.32754610965081254j)          (0.07697302599209833-0.11739272176167993j)        
(0.9086770105119863+0.2751252613501692j)           (0.6617136609554867-0.348381700826465j)            (0.06252902464757767-0.12125396692087471j)        
(0.9165298036307705+0.30004479822762653j)          (0.630631199962063-0.36465584160893266j)           (0.04842447220721145-0.12287432457267901j)        
(0.92478879632458+0.32439839365734213j)            (0.5999110347449029-0.3781960597603864j)           (0.034715215218020457-0.12301755004142374j)       
(0.933400145185323+0.3481893608828111j)            (0.5698965858563819-0.38852431818162264j)          (0.021724448292810113-0.12162824946688319j)       
(0.9423147633445428+0.3714257842652824j)           (0.5408386906290336-0.3957838813779096j)           (0.009620600094807478-0.11889830789972963j)       
(0.9514883529975091+0.3941193802516072j)           (0.5126836260479161-0.4009316607532704j)           (-0.0017491985944615195-0.11501733816990937j)     
(0.9608812647702809+0.41628452407762295j)          (0.4857277392606627-0.40129104300233726j)          (-0.011442550368265286-0.10970203654376094j)      
(0.9704582435312369+0.4379374412375951j)           (0.45964009843470427-0.4003675802638091j)          (-0.020356308918693035-0.10363344589508243j)      
(0.9801881073003289+0.4590955518113843j)           (0.4369467685374934-0.39998512656128205j)          (-0.028568045345546734-0.09781093257261032j)      
(0.9900433939204444+0.47977695009817906j)          (0.41554185942758604-0.39748375256119334j)         (-0.03564013031290273-0.09137475188529948j)       
(1.0199570695589526-0.4902167109996196j)           (0.39907656043348805+0.37513921469243444j)         (-0.03531748625752461+0.07908301019436641j)       
(1.0104390716014064-0.4700926689693328j)           (0.41804898207891356+0.3771789692663406j)          (-0.02944212856353274+0.08497807409513482j)       
(1.0010393243722326-0.4495327896156347j)           (0.4384572213613386+0.37777769311999465j)          (-0.022633170054447305+0.09055802159948355j)      
(0.9917816677557814-0.42852173398374704j)          (0.45961188782754747+0.37891122622401885j)         (-0.015525720667309183+0.09571206317019271j)      
(0.9826929454052468-0.40704474563521603j)          (0.4850466721079834+0.3782192612271329j)           (-0.006973950785802247+0.10110478983978163j)      
(0.9738032681124735-0.3850880483558694j)           (0.5089713669108412+0.37420517125708735j)          (0.002384563958267193+0.10480684367346356j)       
(0.965146253495673-0.36263933961545347j)           (0.5343255023893034+0.368559226520141j)            (0.012480004094922791+0.10777525840780253j)       
(0.9567592190317316-0.3396883913268266j)           (0.5606492333150389+0.3602874611916939j)           (0.02345669189762213+0.10967390487592713j)        
(0.9486832980505145-0.3162277660168375j)           (0.5878978485263374+0.34946971120989484j)          (0.035047286795463393+0.11045421064124153j)       
(0.940963440296004-0.29225365006050774j)           (0.6154456218791085+0.3370027966467685j)           (0.04691082430295512+0.11013734472914544j)        
(0.9336482510040018-0.2677667951834767j)           (0.6433117099887287+0.31960440558205677j)          (0.0596374555563082+0.1078918624770182j)          
(0.9267896167778029-0.24277354420765304j)          (0.6699322245137691+0.2996321698165825j)           (0.0721413462492653+0.10399670255037781j)         
(0.9204420652599268-0.2172868967516397j)           (0.6955429867544565+0.2764357380789101j)           (0.08447768854229287+0.09836573330608311j)        
(0.9146618117721577-0.19132754614619488j)          (0.7195290033577406+0.24971682660164896j)          (0.09637345912573164+0.09083948810940205j)        
(0.9095054630214587-0.164924792756809j)            (0.7419636033213198+0.2208179813382663j)           (0.10752326278852069+0.08190951813232265j)        
(0.9050283782047979-0.1381172160015004j)           (0.7615257988829969+0.1886869703005774j)           (0.11754785050350977+0.07113440619236579j)        
(0.9012827317561163-0.11095297455123024j)          (0.7781700438976066+0.15409659920446603j)          (0.1262082255193909+0.05887157433507933j)         
(0.8983153760804132-0.08348960954809033j)          (0.7915632338391527+0.11746796694807428j)          (0.13325532903522244+0.0453478385548167j)         
(0.8961656584666303-0.055793255998618924j)         (0.8013205606318682+0.07921528736918867j)          (0.13844519144984366+0.030808303084213555j)       
(0.8948633909972161-0.02793722511336633j)          (0.8072676814362482+0.03988414666365473j)          (0.14162741700617212+0.015580956021920726j)       
(0.8944271909999167+4.965068306494541e-16j)        (0.8092653019638305-7.101315075615045e-16j)        (0.14269968651129014-2.778292984840022e-16j)      
(0.8948633909972161+0.027937225113367322j)         (0.807267681436248-0.039884146663656174j)          (0.141627417006172-0.015580956021921251j)         
(0.8961656584666303+0.055793255998619916j)         (0.8013205606318681-0.0792152873691901j)           (0.13844519144984355-0.030808303084214117j)       
(0.8983153760804133+0.0834896095480913j)           (0.7915632338391524-0.11746796694807567j)          (0.13325532903522228-0.04534783855481723j)        
(0.9012827317561164+0.11095297455123121j)          (0.778170043897606-0.1540965992044673j)            (0.12620822551939062-0.05887157433507975j)        
(0.905028378204798+0.13811721600150137j)           (0.7615257988829967-0.1886869703005787j)           (0.11754785050350947-0.07113440619236627j)        
(0.9095054630214588+0.16492479275680996j)          (0.7419636033213196-0.22081798133826758j)          (0.10752326278852038-0.0819095181323231j)         
(0.9146618117721579+0.1913275461461958j)           (0.7195290033577397-0.2497168266016501j)           (0.09637345912573111-0.09083948810940237j)        
(0.920442065259927+0.21728689675164062j)           (0.6955429867544555-0.27643573807891103j)          (0.08447768854229241-0.09836573330608334j)        
(0.9267896167778031+0.24277354420765393j)          (0.6699322245137678-0.2996321698165833j)           (0.07214134624926469-0.10399670255037793j)        
(0.9336482510040021+0.26776679518347757j)          (0.643311709988728-0.3196044055820575j)            (0.05963745555630795-0.10789186247701835j)        
(0.9409634402960042+0.2922536500605086j)           (0.6154456218791073-0.33700279664676935j)          (0.04691082430295446-0.11013734472914546j)        
(0.9486832980505148+0.3162277660168384j)           (0.5878978485263368-0.3494697112098953j)           (0.03504728679546305-0.11045421064124171j)        
(0.9567592190317319+0.33968839132682743j)          (0.5606492333150384-0.36028746119169447j)          (0.02345669189762178-0.10967390487592724j)        
(0.9651462534956733+0.36263933961545425j)          (0.5343255023893029-0.36855922652014145j)          (0.012480004094922392-0.10777525840780262j)       
(0.9738032681124739+0.3850880483558702j)           (0.5089713669108403-0.37420517125708735j)          (0.0023845639582668852-0.10480684367346335j)      
(0.9826929454052471+0.4070447456352168j)           (0.4850466721079824-0.37821926122713323j)          (-0.006973950785802663-0.10110478983978143j)      
(0.9917816677557816+0.4285217339837478j)           (0.4596118878275471-0.3789112262240195j)           (-0.015525720667309622-0.09571206317019265j)      
(1.001039324372233+0.44953278961563536j)           (0.4384572213613372-0.37777769311999443j)          (-0.022633170054447593-0.09055802159948312j)      
(1.0104390716014067+0.4700926689693336j)           (0.4180489820789135-0.37717896926634015j)          (-0.029442128563532916-0.08497807409513487j)      
(1.0398174058075464-0.4808536548892335j)           (0.40115962912654973+0.3572274053708568j)          (-0.02968610446633841+0.07378577461635014j)       
(1.0307169539689833-0.4608442678379518j)           (0.41884702301123267+0.3573853792312055j)          (-0.02397560925045827+0.07883041142928444j)       
(1.0217489516299973-0.4404212984824838j)           (0.43995313670607633+0.35015215708094793j)         (-0.015554837226334994+0.08309544672642662j)      
(1.0129367028637903-0.4195721201516673j)           (0.4599557363416583+0.3576424664169648j)           (-0.010878411235153106+0.08856837381740945j)      
(1.0043061667123423-0.39828491874088995j)          (0.48132004637716236+0.355072835457415j)           (-0.0031577297740408555+0.09239158517930811j)     
(0.995886139293912-0.3765490704247342j)            (0.5038674405609463+0.35023410681134254j)          (0.005430664105664603+0.09549949698466857j)       
(0.9877084026364423-0.35435559631340763j)          (0.5271047407500606+0.3435787533926535j)           (0.014662030614276667+0.09773415639553085j)       
(0.979807819919712-0.33169769968424134j)           (0.5510870999710715+0.33476541719855085j)          (0.024498013226960158+0.09904278401419248j)       
(0.9722223517113365-0.3085713874731746j)           (0.5751459695235833+0.321969975533397j)            (0.03509865540847263+0.0987919316128953j)         
(0.9649929628152302-0.284976171430024j)            (0.6009166898129226+0.3104578875595021j)           (0.04564290317447607+0.09853379083763898j)        
(0.9581633853800207-0.26091583524749945j)          (0.6251902189565954+0.29413462821156505j)          (0.05655084336342804+0.09617039672815687j)        
(0.951779702211486-0.23639924183842767j)           (0.6488523768044336+0.27495460513109543j)          (0.06748306323289335+0.0923515737175894j)         
(0.9458897164582136-0.21144114003996056j)          (0.671503956725921+0.25298029300541597j)           (0.07820235614227035+0.08704249379478314j)        
(0.9405420818715435-0.1860629134762103j)           (0.6929281508927216+0.22844071479192782j)          (0.08850146564833716+0.08030948700451936j)        
(0.9357851833797114-0.1602931983366684j)           (0.712361394500291+0.20126517326955998j)           (0.09806066301747843+0.0720749144050054j)         
(0.9316657816334865-0.13416828487661916j)          (0.729502451117656+0.17168097486888492j)           (0.106649738684141+0.062445805958646856j)         
(0.9282274666881637-0.10773221391173772j)          (0.7440535890001954+0.1400117208415173j)           (0.11404437093372918+0.05158043463653917j)        
(0.9255090018691354-0.08103648894665687j)          (0.755759157979156+0.10660818676433356j)           (0.12005101304983218+0.03966943925726836j)        
(0.9235426731968555-0.0541393499738609j)           (0.7642735596632236+0.0718486950219024j)           (0.12446409227235916+0.02692563682442374j)        
(0.9223527845397127-0.02710459643971854j)          (0.7694593753695651+0.03615914214259188j)          (0.12716732133408523+0.013608732037326595j)       
(0.9219544457292896+4.816823780254963e-16j)        (0.7712007440367261-6.437134706610424e-16j)        (0.12807766662687828-2.4261066764964444e-16j)     
(0.9223527845397127+0.027104596439719502j)         (0.7694593753695651-0.03615914214259317j)          (0.12716732133408523-0.013608732037327098j)       
