Results from the 0th iteration     date:17/05/22
------------------------------------------------------------------------
Parameters of the run are : 
m=0.004 mu=19 lambda=0.72 lambdaQCD=0.234 gamma=0.48 eta=1.8

Parameters for the integartions are : 
nCheby=30 nLeg=500 pMin=0.001 pMax=1000.0
 
Degree of convergence : None
 
Current value for Z2 : 1

Datas for sigma_v(p) and sigma_s(p) :
p                                                  sigma_v(p)                                         sigma_s(p)                                        
(0.1913275461461951-0.9146618117721567j)           (-0.07789028399900681-0.24908296371930339j)        (0.31823589908898947-0.2844025098170767j)         
(0.16492479275680919-0.9095054630214577j)          (-0.020897204592731485-0.24121409802301108j)       (0.3631321058506993-0.2703029659372045j)          
(0.13811721600150056-0.9050283782047969j)          (0.04123784878909002-0.22398434453840427j)         (0.4064431919395502-0.2470943856300777j)          
(0.11095297455123036-0.9012827317561153j)          (0.09982472957349883-0.19597438659098618j)         (0.44392226407954616-0.2122898009747676j)         
(0.08348960954809043-0.8983153760804122j)          (0.14587043149959902-0.1601021513645493j)          (0.4716100116512274-0.16889208609658019j)         
(0.05579325599861899-0.8961656584666292j)          (0.1755209013750463-0.11995620624398949j)          (0.4887275805382782-0.12066196028461078j)         
(0.02793722511336636-0.8948633909972151j)          (0.2007918419911005-0.05042761058660748j)          (0.5046705378096945-0.054902932252637995j)        
(4.965068306494547e-16+0.8944271909999157j)        (0.21357818607838058+5.2707923348787254e-15j)      (0.5117799180247411+7.270524069713027e-15j)       
(0.027937225113367353+0.8948633909972151j)         (0.2007918419911167+0.05042761058661062j)          (0.504670537809708+0.054902932252638884j)         
(0.05579325599861998+0.8961656584666293j)          (0.17552090137504495+0.1199562062439972j)          (0.4887275805382798+0.1206619602846182j)          
(0.0834896095480914+0.8983153760804123j)           (0.14587043149958592+0.16010215136454722j)         (0.4716100116512112+0.16889208609657885j)         
(0.11095297455123132+0.9012827317561155j)          (0.09982472957350094+0.19597438659100194j)         (0.4439222640795473+0.21228980097477815j)         
(0.1381172160015015+0.9050283782047971j)           (0.041237848789086866+0.2239843445384042j)         (0.4064431919395498+0.24709438563007535j)         
(0.16492479275681013+0.9095054630214578j)          (-0.0208972045927326+0.24121409802300917j)         (0.3631321058506974+0.27030296593720377j)         
(0.19132754614619601+0.9146618117721569j)          (-0.07789028399899807+0.24908296371930366j)        (0.3182358990889988+0.28440250981708104j)         
